timestamp,syscall,direction,pid,ppid,uid,auid,comm,exe
09:58:47.388150781,bind,<,799,1,0,-1,vmtoolsd,/usr/bin/vmtoolsd
09:58:49.896700082,unlink,>,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:58:49.896717392,unlink,<,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:58:49.899075405,rename,>,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:58:49.899173226,rename,<,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:58:49.901263685,rename,>,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:58:49.901328316,rename,<,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:58:49.903315325,clone,>,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:58:49.909129646,clone,<,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:58:49.909711284,clone,<,6665,3268,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:58:49.910680346,execve,>,6665,3268,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:58:49.911828675,execve,<,6665,3268,1000,1000,tracker-extract,/usr/libexec/tracker-extract-3
09:58:49.925604324,socket,<,6665,3268,1000,1000,tracker-extract,/usr/libexec/tracker-extract-3
09:58:49.926989569,socket,<,6665,3268,1000,1000,tracker-extract,/usr/libexec/tracker-extract-3
09:58:49.978437651,socket,<,6665,3268,1000,1000,tracker-extract,/usr/libexec/tracker-extract-3
09:58:49.978440657,socket,<,6665,3268,1000,1000,tracker-extract,/usr/libexec/tracker-extract-3
09:58:52.747890883,unlink,>,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:58:52.747902349,unlink,<,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:58:52.761973562,rename,>,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:58:52.762051629,rename,<,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:58:52.768682608,rename,>,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:58:52.768745945,rename,<,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:58:55.571688513,unlink,>,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:58:55.571707965,unlink,<,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:58:55.574673225,rename,>,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:58:55.574789419,rename,<,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:58:55.577143198,rename,>,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:58:55.577206077,rename,<,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:58:58.415207414,unlink,>,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:58:58.415215466,unlink,<,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:58:58.416669150,rename,>,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:58:58.416733591,rename,<,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:58:58.418171878,rename,>,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:58:58.418224363,rename,<,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:58:59.490370455,socket,>,783,1,991,-1,systemd-resolve,/usr/lib/systemd/systemd-resolved
09:58:59.490472243,socket,<,783,1,991,-1,systemd-resolve,/usr/lib/systemd/systemd-resolved
09:58:59.492286318,socket,>,783,1,991,-1,systemd-resolve,/usr/lib/systemd/systemd-resolved
09:58:59.492331343,socket,<,783,1,991,-1,systemd-resolve,/usr/lib/systemd/systemd-resolved
09:58:59.492392355,connect,>,783,1,991,-1,systemd-resolve,/usr/lib/systemd/systemd-resolved
09:58:59.492439911,connect,<,783,1,991,-1,systemd-resolve,/usr/lib/systemd/systemd-resolved
09:59:02.063317667,unlink,>,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:02.063350404,unlink,<,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:02.066112469,rename,>,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:02.066183874,rename,<,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:02.068570422,rename,>,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:02.068628257,rename,<,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:02.069891204,clone,>,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:02.071370255,clone,<,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:02.071750510,clone,<,6674,3268,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:02.072638111,execve,>,6674,3268,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:02.074032123,execve,<,6674,3268,1000,1000,tracker-extract,/usr/libexec/tracker-extract-3
09:59:02.088121811,socket,<,6674,3268,1000,1000,tracker-extract,/usr/libexec/tracker-extract-3
09:59:02.088843318,socket,<,6674,3268,1000,1000,tracker-extract,/usr/libexec/tracker-extract-3
09:59:02.143785402,socket,<,6674,3268,1000,1000,tracker-extract,/usr/libexec/tracker-extract-3
09:59:02.143787185,socket,<,6674,3268,1000,1000,tracker-extract,/usr/libexec/tracker-extract-3
09:59:04.621329345,socket,>,1239,1,0,-1,NetworkManager,/usr/sbin/NetworkManager
09:59:04.621346047,socket,<,1239,1,0,-1,NetworkManager,/usr/sbin/NetworkManager
09:59:04.621368004,connect,>,1239,1,0,-1,NetworkManager,/usr/sbin/NetworkManager
09:59:04.645206200,connect,<,1239,1,0,-1,NetworkManager,/usr/sbin/NetworkManager
09:59:06.616036634,socket,>,780,1,990,-1,systemd-oomd,/usr/lib/systemd/systemd-oomd
09:59:06.616071441,socket,<,780,1,990,-1,systemd-oomd,/usr/lib/systemd/systemd-oomd
09:59:08.614297487,socket,>,784,1,996,-1,systemd-timesyn,/usr/lib/systemd/systemd-timesyncd
09:59:08.614366677,socket,<,784,1,996,-1,systemd-timesyn,/usr/lib/systemd/systemd-timesyncd
09:59:10.650827053,unlink,>,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
